date,avg,min,max
3/24 12:00,0.137,0.129,0.144
3/23 12:00,0.146,0.137,0.158
3/22 12:00,0.137,0.123,0.166
3/21 12:00,0.0969,0.047,0.147
3/20 12:00,0.0457,0.0405,0.0524
3/19 12:00,0.0467,0.0426,0.0503
3/18 12:00,0.0484,0.0443,0.053
3/17 12:00,0.0511,0.046,0.0562
3/16 12:00,0.0719,0.0499,0.161
3/15 12:00,0.109,0.0318,0.809
3/14 12:00,0.0341,0.0304,0.0377
3/13 12:00,0.0343,0.0314,0.0383
3/12 12:00,0.0342,0.0305,0.0384
3/11 12:00,0.0341,0.0308,0.0376
3/10 12:00,0.0338,0.0307,0.0372
3/9 12:00,0.0343,0.0311,0.0379
3/8 12:00,0.0343,0.0312,0.0388
3/7 12:00,0.0366,0.0308,0.044
3/6 12:00,0.0343,0.0308,0.0377
3/5 12:00,0.0339,0.0304,0.0374
3/4 12:00,0.0339,0.031,0.0375
3/3 12:00,0.034,0.0304,0.0377
3/2 12:00,0.0344,0.0311,0.0419
3/1 12:00,0.0368,0.0313,0.0461
